mechanism_id,round,gross_bps,net_bps_at_14,verdict_source,kill_reason,trigger_type,holding_period,universe,tier_central,tier_stress,maker_admissible,n_independent,operational_status,cost_realistic_rt_central,net_bps_central,net_bps_stress15x_central,cost_realistic_rt_stress_tier,net_bps_stress_tier,net_bps_stress15x_stress_tier,maker_urgency_penalty_rt_if_posted_p99,maker_urgency_penalty_rt_if_posted_p999,w5_verdict,delta_net_bps
W7-036 DVOL_SHOCK down x count_30d_same_direction,r3,160.3,146.3,WEAK,"non-monotonic, n too small (21)",EVENT_SHOCK,24h,Deribit DVOL BTC+ETH,T3_MID_ALT,T4_WIDE_ALT,False,21.0,,12.7,147.6,141.25,15.8,144.5,136.6,1.95,10.39,UNCHANGED_ALIVE,1.3
W7-038 DVOL_SHOCK down x cumint_90d_tercile,r3,159.8,145.8,WEAK,"reversed vs up-side, n too small",EVENT_SHOCK,24h,Deribit DVOL BTC+ETH,T3_MID_ALT,T4_WIDE_ALT,False,35.0,,12.7,147.1,140.75,15.8,144.0,136.1,1.95,10.39,UNCHANGED_ALIVE,1.3
W7-037 DVOL_SHOCK down x time_since_prev,r3,131.2,117.2,WEAK,"not significant, n too small (18)",EVENT_SHOCK,24h,Deribit DVOL BTC+ETH,T3_MID_ALT,T4_WIDE_ALT,False,18.0,,12.7,118.5,112.15,15.8,115.4,107.5,1.95,10.39,UNCHANGED_ALIVE,1.3
XSEC_SECTOR_NEUTRAL_MOM_14D,r3,129.3,115.3,WEAK,not significant (t=1.56),SLOW_STATE,14d,150/312 sector-mapped,T3_MID_ALT,T4_WIDE_ALT,True,164.0,,11.7,117.6,111.75,15.3,114.0,106.35,1.95,10.39,UNCHANGED_ALIVE,2.3
XSEC_AMIHUD_ILLIQ_7D,r3,127.3,113.3,PROMISING,,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,336.0,,11.7,115.6,109.75,15.3,112.0,104.35,1.95,10.39,UNCHANGED_ALIVE,2.3
AMIHUD_ILLIQUIDITY_PREMIUM [validated],validation,119.7,105.7,VALIDATED_FOR_FORWARD,,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,332.0,SIGNAL_SHADOW,11.7,108.0,102.15,15.3,104.4,96.75,1.95,10.39,UNCHANGED_ALIVE,2.3
D-SECTOR-ROTATION-D_mom-7D,r3,117.0,103.0,PROMISING,low-df caveat,SLOW_STATE,7d,10 sector baskets,T3_MID_ALT,T4_WIDE_ALT,True,259.0,,11.7,105.3,99.45,15.3,101.7,94.05,1.95,10.39,UNCHANGED_ALIVE,2.3
SECTOR_ROTATION [discovery],validation,117.0,103.0,REJECTED,validation gate,UNCLEAR,,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,False,74.0,,12.7,104.3,97.95,15.8,101.2,93.3,1.95,10.39,UNCHANGED_ALIVE,1.3
AMIHUD_ILLIQUIDITY_PREMIUM [discovery],validation,113.3,99.3,VALIDATED_FOR_FORWARD,,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,332.0,SIGNAL_SHADOW,11.7,101.6,95.75,15.3,98.0,90.35,1.95,10.39,UNCHANGED_ALIVE,2.3
XSEC_REL_LEVERAGE_14D,r3,101.3,87.3,PROMISING,,SLOW_STATE,14d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,121.0,,11.7,89.6,83.75,15.3,86.0,78.35,1.95,10.39,UNCHANGED_ALIVE,2.3
XSEC_RESID_MOM_14D,r3,92.8,78.8,PROMISING,,SLOW_STATE,14d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,167.0,,11.7,81.1,75.25,15.3,77.5,69.85,1.95,10.39,UNCHANGED_ALIVE,2.3
XSEC_ACCEL_14D,r3,92.1,78.1,WEAK,anchor SIGN-FLIP,SLOW_STATE,14d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,167.0,,11.7,80.4,74.55,15.3,76.8,69.15,1.95,10.39,UNCHANGED_ALIVE,2.3
D-CURVESHAPE-BTCvsETH-PAIR-7D,r3,91.8,77.8,PROMISING,,SLOW_STATE,7d,BTC vs ETH quarterly curves,T1_MAJOR,T2_LIQUID_ALT,True,157.0,,8.6,83.2,78.9,9.4,82.4,77.7,1.95,10.39,UNCHANGED_ALIVE,5.4
XSEC_MOM_14D_LS,r3,87.5,73.5,PROMISING,,SLOW_STATE,14d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,167.0,,11.7,75.8,69.95,15.3,72.2,64.55,1.95,10.39,UNCHANGED_ALIVE,2.3
XSEC_RESIDUAL_MOMENTUM_14D [discovery],validation,78.8,64.8,REJECTED,validation gate,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,77.0,,11.7,67.1,61.25,15.3,63.5,55.85,1.95,10.39,UNCHANGED_ALIVE,2.3
B4 OI-growth reversal x funding (extreme),r3,78.2,64.2,WEAK,"not significant (t=1.10), thin N",SLOW_STATE,7d,48-symbol daily panel,T3_MID_ALT,T4_WIDE_ALT,True,77.0,,11.7,66.5,60.65,15.3,62.9,55.25,1.95,10.39,UNCHANGED_ALIVE,2.3
XSEC_MOM_CVD_CONFIRMED_7D,r3,77.8,63.8,PROMISING,,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,308.0,,11.7,66.1,60.25,15.3,62.5,54.85,1.95,10.39,UNCHANGED_ALIVE,2.3
XSEC_BREADTH_COND_MOM_7D,r3,76.9,62.9,WEAK,not significant (t=1.41),SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,336.0,,11.7,65.2,59.35,15.3,61.6,53.95,1.95,10.39,UNCHANGED_ALIVE,2.3
XSEC_MOM_VOLADJ_14D,r3,75.2,61.2,WEAK,not significant (t=0.67),SLOW_STATE,14d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,167.0,,11.7,63.5,57.65,15.3,59.9,52.25,1.95,10.39,UNCHANGED_ALIVE,2.3
XSEC_MOM_OI_DIVERGENT_7D,r3,73.2,59.2,WEAK,anchor SIGN-FLIP,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,240.0,,11.7,61.5,55.65,15.3,57.9,50.25,1.95,10.39,UNCHANGED_ALIVE,2.3
XSEC_MOM_7D_LO,r3,69.0,55.0,PROMISING,,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,336.0,,11.7,57.3,51.45,15.3,53.7,46.05,1.95,10.39,UNCHANGED_ALIVE,2.3
C2 positioning taker-flow fade x vol (high vol),r3,66.6,52.6,WEAK/DATA_LIMITED,"regime concentration, t=1.04",MICROSTRUCTURE,24h,47 symbols positioning,T3_MID_ALT,T4_WIDE_ALT,True,21.0,,11.7,54.9,49.05,15.3,51.3,43.65,1.95,10.39,UNCHANGED_ALIVE,2.3
D-TAKER_LSR-mom-7D,r3,65.9,51.9,PROMISING,,MICROSTRUCTURE,7d,vision metrics taker LSR,T3_MID_ALT,T4_WIDE_ALT,True,224.0,,11.7,54.2,48.35,15.3,50.6,42.95,1.95,10.39,UNCHANGED_ALIVE,2.3
XSEC_MOMENTUM_HORIZON_EXTENSION [validated],validation,65.78,51.78,REJECTED,validation gate,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,77.0,,11.7,54.08,48.23,15.3,50.48,42.83,1.95,10.39,UNCHANGED_ALIVE,2.3
D-GLOBAL_LSR-fade-7D,r3,65.5,51.5,PROMISING,,SLOW_STATE,7d,vision metrics global LSR,T3_MID_ALT,T4_WIDE_ALT,True,239.0,,11.7,53.8,47.95,15.3,50.2,42.55,1.95,10.39,UNCHANGED_ALIVE,2.3
BTC_LEAD_ALT_CASCADE [validated],validation,60.87,46.87,VALIDATED_FOR_FORWARD,,EVENT_SHOCK,4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,259.0,SIGNAL_SHADOW,11.3,49.57,43.92,12.7,48.17,41.82,1.95,10.39,UNCHANGED_ALIVE,2.7
D-RVSECTOR-C_rev-7D,r3,60.4,46.4,PROMISING,,SLOW_STATE,7d,sector-tagged universe,T3_MID_ALT,T4_WIDE_ALT,True,324.0,,11.7,48.7,42.85,15.3,45.1,37.45,1.95,10.39,UNCHANGED_ALIVE,2.3
SECTOR_RELATIVE_STRENGTH_REVERSAL [discovery],validation,60.4,46.4,REJECTED,validation gate,UNCLEAR,,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,False,74.0,,12.7,47.7,41.35,15.8,44.6,36.7,1.95,10.39,UNCHANGED_ALIVE,1.3
D-CURVESHAPE-ETH-MOM-7D,r3,57.1,43.1,DEAD,stability (1/5 years),SLOW_STATE,7d,ETHUSDT quarterly curve,T1_MAJOR,T2_LIQUID_ALT,True,157.0,,8.6,48.5,44.2,9.4,47.7,43.0,1.95,10.39,UNCHANGED_ALIVE,5.4
XSEC_SECTOR_ROTATION_7D,r3,55.6,41.6,WEAK,not significant (t=0.61),SLOW_STATE,7d,sector baskets,T3_MID_ALT,T4_WIDE_ALT,True,249.0,,11.7,43.9,38.05,15.3,40.3,32.65,1.95,10.39,UNCHANGED_ALIVE,2.3
D-CURVESHAPE-BTC-FADE-14D,r3,54.8,40.8,DEAD,stability/t-stat bar,SLOW_STATE,14d,BTCUSDT quarterly curve,T1_MAJOR,T2_LIQUID_ALT,True,78.0,,8.6,46.2,41.9,9.4,45.4,40.7,1.95,10.39,UNCHANGED_ALIVE,5.4
LIQ_CASCADE_SHORT_SQUEEZE_EXHAUSTION [blocked],validation,54.0,40.0,BLOCKED,sign unresolved,EVENT_SHOCK,4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,1140.0,,11.3,42.7,37.05,12.7,41.3,34.95,1.95,10.39,UNCHANGED_ALIVE,2.7
B5 basis carry x crowding (low crowding),r3,53.8,39.8,WEAK,conditioning adds little,SLOW_STATE,7d,48-symbol daily panel,T3_MID_ALT,T4_WIDE_ALT,True,119.0,,11.7,42.1,36.25,15.3,38.5,30.85,1.95,10.39,UNCHANGED_ALIVE,2.3
A6 LONG_CASCADE repeat>=2 fade x mktwide density (systemic),r3,53.5,39.5,PROMISING,,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,2047.0,,11.3,42.2,36.55,12.7,40.8,34.45,1.95,10.39,UNCHANGED_ALIVE,2.7
LIQ_REPEAT_DENSITY [discovery],validation,53.5,39.5,VALIDATED_FOR_FORWARD,,EVENT_SHOCK,4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,1165.0,,11.3,42.2,36.55,12.7,40.8,34.45,1.95,10.39,UNCHANGED_ALIVE,2.7
XSEC_REL_LEVERAGE_7D,r3,52.6,38.6,WEAK,not significant (t=0.91),SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,243.0,,11.7,40.9,35.05,15.3,37.3,29.65,1.95,10.39,UNCHANGED_ALIVE,2.3
BTC_LEAD_ALT_CASCADE [discovery],validation,47.0,33.0,VALIDATED_FOR_FORWARD,,EVENT_SHOCK,4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,259.0,SIGNAL_SHADOW,11.3,35.7,30.05,12.7,34.3,27.95,1.95,10.39,UNCHANGED_ALIVE,2.7
D-OICHGRANK-G_fade-7D,r3,46.5,32.5,PROMISING,,SLOW_STATE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,241.0,,11.7,34.8,28.95,15.3,31.2,23.55,1.95,10.39,UNCHANGED_ALIVE,2.3
W7-004 VOLUME_SHOCK down x count_24h,r3,46.5,32.5,WEAK,non-monotonic,EVENT_SHOCK,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,False,537.0,,11.3,35.2,29.55,12.7,33.8,27.45,1.95,10.39,UNCHANGED_ALIVE,2.7
B3 betting-against-beta x vol regime (low-vol),r3,46.3,32.3,WEAK,not significant (t<1.0),SLOW_STATE,7d,48-symbol daily panel,T3_MID_ALT,T4_WIDE_ALT,True,116.0,,11.7,34.6,28.75,15.3,31.0,23.35,1.95,10.39,UNCHANGED_ALIVE,2.3
XSEC_RESIDUAL_MOMENTUM_14D [validated],validation,45.5,31.5,REJECTED,validation gate,SLOW_STATE,7d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,77.0,,11.7,33.8,27.95,15.3,30.2,22.55,1.95,10.39,UNCHANGED_ALIVE,2.3
D-SMARTRETAIL-DIVERGENCE-N4_mom-7D,r3,45.4,31.4,WEAK,not significant (t=1.09),SLOW_STATE,7d,vision metrics LSR ranks,T3_MID_ALT,T4_WIDE_ALT,True,196.0,,11.7,33.7,27.85,15.3,30.1,22.45,1.95,10.39,UNCHANGED_ALIVE,2.3
D-BASISMOTION-RANK-J2_fade-7D,r3,43.7,29.7,PROMISING,,SLOW_STATE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,324.0,,11.7,32.0,26.15,15.3,28.4,20.75,1.95,10.39,UNCHANGED_ALIVE,2.3
D-FUNDVSBTC-Z-F3_fade-7D,r3,42.2,28.2,WEAK,not significant (t=1.33),SLOW_STATE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,324.0,,11.7,30.5,24.65,15.3,26.9,19.25,1.95,10.39,UNCHANGED_ALIVE,2.3
A4 SHORT_SQUEEZE repeat>=2 momentum x OI (low-OI),r3,38.7,24.7,PROMISING,,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,1180.0,,11.3,27.4,21.75,12.7,26.0,19.65,1.95,10.39,UNCHANGED_ALIVE,2.7
D-LIQPRESSURE-RANK-H_rev-7D,r3,38.1,24.1,WEAK,not significant (t=1.02),EVENT_SHOCK,7d,liq_cascade cross-sectional rank,T2_LIQUID_ALT,T3_MID_ALT,False,286.0,,11.3,26.8,21.15,12.7,25.4,19.05,1.95,10.39,UNCHANGED_ALIVE,2.7
LIQ_REPEAT_DENSITY [validated],validation,36.1,22.1,VALIDATED_FOR_FORWARD,,EVENT_SHOCK,4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,1165.0,,11.3,24.8,19.15,12.7,23.4,17.05,1.95,10.39,UNCHANGED_ALIVE,2.7
W5-T1.1 ENABLE LIQ_CASCADE_REPEAT when BTC 24h rvol high,r3,35.33,21.33,PROMISING,ETA 28-38.5y (validation),EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,949.0,,11.3,24.03,18.38,12.7,22.63,16.28,1.95,10.39,UNCHANGED_ALIVE,2.7
W5-T1.11 T1.1 transferred unrefit to SHORT_SQUEEZE_EXHAUSTION,r3,34.85,20.85,context-only,base engine BLOCKED (sign unresolved),EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,1480.0,,11.3,23.55,17.9,12.7,22.15,15.8,1.95,10.39,UNCHANGED_ALIVE,2.7
D-CVDIMB-RANK-P_mom-7D,r3,34.8,20.8,DEAD,t-stat/stability bar,MICROSTRUCTURE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,324.0,,11.7,23.1,17.25,15.3,19.5,11.85,1.95,10.39,UNCHANGED_ALIVE,2.3
D-LIQDIRSKEW-RANK-H3_a-7D,r3,33.8,19.8,DEAD,t-stat/stability bar,EVENT_SHOCK,7d,liq_cascade cross-sectional rank,T2_LIQUID_ALT,T3_MID_ALT,False,207.0,,11.3,22.5,16.85,12.7,21.1,14.75,1.95,10.39,UNCHANGED_ALIVE,2.7
PREMIUM_EXTREME_THEN_CASCADE [validated],validation,33.69,19.69,NEEDS_MORE_RESEARCH,validation gate,EVENT_SHOCK,4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,533.0,,11.3,22.39,16.74,12.7,20.99,14.64,1.95,10.39,UNCHANGED_ALIVE,2.7
XSEC_MOM_3D_LO,r3,33.0,19.0,WEAK,not significant (t=0.69),SLOW_STATE,3d,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,True,784.0,,11.7,21.3,15.45,15.3,17.7,10.05,1.95,10.39,UNCHANGED_ALIVE,2.3
OI_COLLAPSE_BOUNCE [validated],validation,32.31,18.31,NEEDS_MORE_RESEARCH,validation gate,EVENT_SHOCK,4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,833.0,,11.3,21.01,15.36,12.7,19.61,13.26,1.95,10.39,UNCHANGED_ALIVE,2.7
D-DVOLSHARE-RANK-O_fade-7D,r3,31.3,17.3,DEAD,t-stat/stability bar,SLOW_STATE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,324.0,,11.7,19.6,13.75,15.3,16.0,8.35,1.95,10.39,UNCHANGED_ALIVE,2.3
BTC_ETH_CURVE_STEEPNESS [validation],validation,31.1,17.1,REJECTED,"not significant (t=0.28), 1/4 years positive",SLOW_STATE,7d,BTC vs ETH quarterly curves,T1_MAJOR,T2_LIQUID_ALT,True,,,8.6,22.5,18.2,9.4,21.7,17.0,1.95,10.39,UNCHANGED_ALIVE,5.4
W5-T1.5 REDUCE/INCREASE_RISK size by |oi_drop_z|,r3,29.81,15.81,WEAK,no OOS split,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,4660.0,,11.3,18.51,12.86,12.7,17.11,10.76,1.95,10.39,UNCHANGED_ALIVE,2.7
D-FUNDPERSIST-RANK-Q_fade-7D,r3,29.6,15.6,DEAD,t-stat/stability bar,SLOW_STATE,7d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,324.0,,11.7,17.9,12.05,15.3,14.3,6.65,1.95,10.39,UNCHANGED_ALIVE,2.3
W7-022 CVD_SHOCK down x cumint_7d_tercile,r3,29.6,15.6,PROMISING,same family as W7-006/016,EVENT_SHOCK,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,False,10012.0,,11.3,18.3,12.65,12.7,16.9,10.55,1.95,10.39,UNCHANGED_ALIVE,2.7
LIQ_CASCADE_FAR_FROM_LOW [discovery],validation,29.5,15.5,REJECTED,validation gate,EVENT_SHOCK,4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,1620.0,,11.3,18.2,12.55,12.7,16.8,10.45,1.95,10.39,UNCHANGED_ALIVE,2.7
CVD_SHOCK_DOWN_MEMORY [discovery],validation,29.5,15.5,REJECTED,validation gate,EVENT_SHOCK,4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,1133.0,,11.3,18.2,12.55,12.7,16.8,10.45,1.95,10.39,UNCHANGED_ALIVE,2.7
W5-T1.8 ENABLE by weekday vs weekend,r3,29.29,15.29,"WEAK, exploratory","no OOS split, multiple-testing risk",EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,3901.0,,11.3,17.99,12.34,12.7,16.59,10.24,1.95,10.39,UNCHANGED_ALIVE,2.7
W7-006 CVD_SHOCK down x count_24h,r3,29.2,15.2,PROMISING,possible overlap with liq-cascade,EVENT_SHOCK,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,False,4843.0,,11.3,17.9,12.25,12.7,16.5,10.15,1.95,10.39,UNCHANGED_ALIVE,2.7
SECTOR_ROTATION [validated],validation,27.29,13.29,REJECTED,validation gate,UNCLEAR,,312 PIT symbols,T3_MID_ALT,T4_WIDE_ALT,False,74.0,,12.7,14.59,8.24,15.8,11.49,3.59,1.95,10.39,UNCHANGED_ALIVE,1.3
W5-T1.6 ENABLE by UTC session (ASIA),r3,26.18,12.18,WEAK,marginal (t=0.99),EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,653.0,,11.3,14.88,9.23,12.7,13.48,7.13,1.95,10.39,UNCHANGED_ALIVE,2.7
w1_c03 PREMIUM_EXTREME_THEN_CASCADE (capitulation),r3,26.14,12.14,PROMISING (cost-sensitive),fails stress by 1.9bps (cost),EVENT_SHOCK,fwd_4h,premium+liq_cascade,T2_LIQUID_ALT,T3_MID_ALT,False,4190.0,,11.3,14.84,9.19,12.7,13.44,7.09,1.95,10.39,UNCHANGED_ALIVE,2.7
A7 LONG_CASCADE repeat>=2 fade x funding (neutral),r3,26.1,12.1,DEAD,worse than baseline,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,651.0,,11.3,14.8,9.15,12.7,13.4,7.05,1.95,10.39,UNCHANGED_ALIVE,2.7
PREMIUM_EXTREME_THEN_CASCADE [discovery],validation,26.1,12.1,NEEDS_MORE_RESEARCH,validation gate,EVENT_SHOCK,4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,533.0,,11.3,14.8,9.15,12.7,13.4,7.05,1.95,10.39,UNCHANGED_ALIVE,2.7
"LIQ_REPEAT_VOL_GATE [validation, net-only]",validation,25.88,11.88,NEEDS_MORE_RESEARCH,ETA 28.0-38.5 years (declustering 949->268),EVENT_SHOCK,4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,268.0,,11.3,14.58,8.93,12.7,13.18,6.83,1.95,10.39,UNCHANGED_ALIVE,2.7
W7-031 OI_SHOCK down x accel_vs_decel_12h,r3,25.6,11.6,PROMISING,same family as W7-002/012/021,EVENT_SHOCK,4h,50-symbol frozen universe,T2_LIQUID_ALT,T3_MID_ALT,False,2067.0,,11.3,14.3,8.65,12.7,12.9,6.55,1.95,10.39,UNCHANGED_ALIVE,2.7
W5-T3 baseline M7 funding-basis disagreement,r3,25.55,11.55,baseline,,SLOW_STATE,14d,BTC+ETH quarterly,T3_MID_ALT,T4_WIDE_ALT,True,49.0,,11.7,13.85,8.0,15.3,10.25,2.6,1.95,10.39,UNCHANGED_ALIVE,2.3
W5-T3.1 SELECT_ASSET larger-|disagreement| leg,r3,25.24,11.24,DATA_LIMITED / DEAD,n too small (10),SLOW_STATE,14d,BTC+ETH quarterly,T3_MID_ALT,T4_WIDE_ALT,True,10.0,,11.7,13.54,7.69,15.3,9.94,2.29,1.95,10.39,UNCHANGED_ALIVE,2.3
A5 LONG_CASCADE repeat>=2 fade x OI (high-OI),r3,24.8,10.8,DEAD (as an interaction),no regime lift vs baseline,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,2360.0,,11.3,13.5,7.85,12.7,12.1,5.75,1.95,10.39,UNCHANGED_ALIVE,2.7
C3 LSR day-over-day momentum x weekend (weekday),r3,24.8,10.8,DATA_LIMITED,n too small,SLOW_STATE,24h,47 symbols positioning,T3_MID_ALT,T4_WIDE_ALT,True,31.0,,11.7,13.1,7.25,15.3,9.5,1.85,1.95,10.39,UNCHANGED_ALIVE,2.3
w1_c08 CROWD_WASHOUT_ESCALATION_CHAIN (no formal cascade),r3,24.64,10.64,PROMISING (cost-sensitive),fails stress by 3.4bps (cost),EVENT_SHOCK,fwd_4h,crowding_dataset,T2_LIQUID_ALT,T3_MID_ALT,False,1665.0,,11.3,13.34,7.69,12.7,11.94,5.59,1.95,10.39,UNCHANGED_ALIVE,2.7
CROWD_WASHOUT_NO_CASCADE [discovery],validation,24.6,10.6,REJECTED,validation gate,SLOW_STATE,1d,Binance USDM liquid universe,T3_MID_ALT,T4_WIDE_ALT,True,1050.0,,11.7,12.9,7.05,15.3,9.3,1.65,1.95,10.39,UNCHANGED_ALIVE,2.3
D-CURVESHAPE-BTC-MOM-7D,r3,24.2,10.2,DEAD,cost / stability (3/5 years),SLOW_STATE,7d,BTCUSDT quarterly curve,T1_MAJOR,T2_LIQUID_ALT,True,157.0,,8.6,15.6,11.3,9.4,14.8,10.1,1.95,10.39,UNCHANGED_ALIVE,5.4
W5-T1.4 SELECT_HORIZON by funding_z30,r3,24.05,10.05,DEAD,consistent negative delta vs fixed 4h,EVENT_SHOCK,fwd_4h,49 symbols,T2_LIQUID_ALT,T3_MID_ALT,False,1028.0,,11.3,12.75,7.1,12.7,11.35,5.0,1.95,10.39,UNCHANGED_ALIVE,2.7
