column,verdict,audit_test,reason
abnormal_wick_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
abnormal_wick_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
absorption_anomaly_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
absorption_anomaly_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
absorption_anomaly_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
absorption_anomaly_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
approximate_entropy_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
aroon_down_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
aroon_oscillator_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
aroon_up_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
ascending_triangle_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
atr_compression_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
bb_percent_b_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
bb_width_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
bollinger_lower_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
bollinger_percent_b_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
bollinger_squeeze_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
bollinger_upper_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
bollinger_width_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
breakout_after_squeeze_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
breakout_continuation_score_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
breakout_continuation_score_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
breakout_from_squeeze_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
breakout_volume_confirmation_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
cci_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
climax_volume_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
climax_volume_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
climax_volume_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
climax_volume_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
compression_regime_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
crash_score_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
cup_and_handle_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
descending_triangle_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
dfa_exponent_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
dfa_exponent_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
dfa_exponent_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
dfa_exponent_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
distance_bollinger_lower_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
distance_bollinger_upper_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
distance_ema_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
distance_hma_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
distance_normalized_by_atr_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
distance_normalized_by_volatility_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
distance_sma_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
double_bottom_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
double_top_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
downside_volatility_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
drawdown_acceleration_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
exhaustion_anomaly_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
exhaustion_anomaly_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
exhaustion_anomaly_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
exhaustion_anomaly_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
exit_pressure_score_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
exit_pressure_score_10,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
exit_pressure_score_100,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
exit_pressure_score_14,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
exit_pressure_score_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
exit_pressure_score_20,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
exit_pressure_score_200,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
exit_pressure_score_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
exit_pressure_score_30,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
exit_pressure_score_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
exit_pressure_score_50,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
expansion_candle_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
expansion_regime_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
extreme_return_flag_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
extreme_return_flag_10,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
extreme_return_flag_2,PLACEHOLDER,A3,constante (std=0) sur 6/7 symboles audites
extreme_return_flag_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
extreme_return_flag_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
fourier_component_1_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
fourier_component_1_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
fourier_component_2_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
fourier_component_2_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
fourier_component_2_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
fourier_dominant_cycle_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
fourier_dominant_cycle_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
fourier_dominant_cycle_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
fourier_dominant_cycle_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
fractal_dimension_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
fractal_dimension_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
fractal_dimension_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
fractal_dimension_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
fractal_dimension_index_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
fractal_dimension_index_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
fractal_dimension_index_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
funding_accel,PLACEHOLDER,A3,constante (std=0) sur 3/7 symboles audites
future_ret_8h,LOOKAHEAD,A7,label forward verifie empiriquement : future_ret_8h == log(close[t+8]/close[t]) a 1e-15 pres sur 100% des barres. FUITE si utilise comme feature. De plus non recalcule sur la queue : s'arrete ~27 jours avant la fin de fichier pour les symboles maintenus en live
future_ret_h16_max,LOOKAHEAD,A7,label forward verifie empiriquement : future_ret_8h == log(close[t+8]/close[t]) a 1e-15 pres sur 100% des barres. FUITE si utilise comme feature. De plus non recalcule sur la queue : s'arrete ~27 jours avant la fin de fichier pour les symboles maintenus en live
future_ret_h16_min,LOOKAHEAD,A7,label forward verifie empiriquement : future_ret_8h == log(close[t+8]/close[t]) a 1e-15 pres sur 100% des barres. FUITE si utilise comme feature. De plus non recalcule sur la queue : s'arrete ~27 jours avant la fin de fichier pour les symboles maintenus en live
highpass_filtered_price_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
higuchi_fractal_dimension_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
higuchi_fractal_dimension_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
higuchi_fractal_dimension_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
hilbert_sine_wave_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
hurst_exponent_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
hurst_exponent_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
hurst_exponent_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
hurst_exponent_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
katz_fractal_dimension_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
katz_fractal_dimension_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
last_volatility_mean_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
linear_regression_r2_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
linear_regression_r2_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
linear_regression_slope_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
liquidity_regime_1,PLACEHOLDER,A3,constante (std=0) sur 5/7 symboles audites
liquidity_shock_proxy_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
liquidity_shock_proxy_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
liquidity_shock_proxy_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
liquidity_shock_proxy_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
max_drawdown_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
mean_reversion_probability_proxy_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
mean_reversion_probability_proxy_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
mean_reversion_probability_proxy_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
mean_reversion_probability_proxy_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
mean_reversion_regime_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
mean_reversion_regime_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
mean_reversion_regime_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
mean_reversion_regime_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
momentum_percentile_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
multi_scale_trend_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
multi_scale_volatility_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
normalized_price_vol_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
obv_slope_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
overextension_score_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
pennant_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
permutation_entropy_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
permutation_entropy_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
permutation_entropy_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
price_above_ema_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
price_above_sma_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
price_spike_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
price_spike_10,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
price_spike_2,PLACEHOLDER,A3,constante (std=0) sur 6/7 symboles audites
price_spike_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
price_spike_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
pullback_quality_score_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
pullback_quality_score_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
pullback_slope_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
pullback_to_ema_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
pullback_to_ema_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
pullback_to_ma_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
pullback_to_support_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
pullback_to_vwap_1,PLACEHOLDER,A3,constante (std=0) sur 5/7 symboles audites
pullback_volume_10,PLACEHOLDER,A3,constante (std=0) sur 3/7 symboles audites
pullback_volume_100,PLACEHOLDER,A3,constante (std=0) sur 4/7 symboles audites
pullback_volume_14,PLACEHOLDER,A3,constante (std=0) sur 3/7 symboles audites
pullback_volume_20,PLACEHOLDER,A3,constante (std=0) sur 3/7 symboles audites
pullback_volume_200,PLACEHOLDER,A3,constante (std=0) sur 4/7 symboles audites
pullback_volume_30,PLACEHOLDER,A3,constante (std=0) sur 4/7 symboles audites
pullback_volume_50,PLACEHOLDER,A3,constante (std=0) sur 4/7 symboles audites
pump_score_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
range_compression_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
range_regime_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
realized_volatility_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
regime_shift_score_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
resistance_touches_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
retest_failure_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
reversion_pressure_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
risk_on_proxy_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
robust_scaled_close_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_autocorrelation_return_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_autocorrelation_return_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_beta_vs_time_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_correlation_price_volume_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_covariance_price_volume_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_drawdown_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_entropy_return_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_kurtosis_return_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_kurtosis_return_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_kurtosis_return_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_max_drawdown_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_percentile_rank_close_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_sharpe_proxy_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_skewness_return_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_skewness_return_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_sortino_proxy_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_std_close_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
rolling_volatility_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
sample_entropy_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
short_term_volume_spike,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
spectral_entropy_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
spectral_entropy_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
spectral_entropy_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
spectral_entropy_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
stochastic_rsi_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
support_touches_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
symmetrical_triangle_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
tail_risk_proxy_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
taker_buy_quote,PLACEHOLDER,A3/A8,"= quote_asset_volume x 0.5 EXACTEMENT sur 100% des barres, 50/50 symboles, toutes annees (verifie en tolerance relative 1e-6 contre le panel V2)"
taker_buy_quote_asset_volume,PLACEHOLDER,A3/A8,"= quote_asset_volume x 0.5 EXACTEMENT sur 100% des barres, 50/50 symboles, toutes annees (verifie en tolerance relative 1e-6 contre le panel V2)"
taker_buy_ratio_quote,PLACEHOLDER,A3/A8,"= quote_asset_volume x 0.5 EXACTEMENT sur 100% des barres, 50/50 symboles, toutes annees (verifie en tolerance relative 1e-6 contre le panel V2)"
taker_sell_quote,PLACEHOLDER,A3/A8,"= quote_asset_volume x 0.5 EXACTEMENT sur 100% des barres, 50/50 symboles, toutes annees (verifie en tolerance relative 1e-6 contre le panel V2)"
trend_phase_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
trending_market_score_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
trending_market_score_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
triple_bottom_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
triple_bottom_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
triple_top_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
triple_top_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
ttm_squeeze_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
ttm_squeeze_200,PLACEHOLDER,A3,constante (std=0) sur 6/7 symboles audites
upside_volatility_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volatility_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volatility_acceleration_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volatility_adjusted_return_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volatility_compression_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volatility_compression_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volatility_compression_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volatility_compression_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volatility_contraction_pattern_10,PLACEHOLDER,A3,constante (std=0) sur 4/7 symboles audites
volatility_contraction_pattern_100,PLACEHOLDER,A3,constante (std=0) sur 4/7 symboles audites
volatility_contraction_pattern_14,PLACEHOLDER,A3,constante (std=0) sur 4/7 symboles audites
volatility_contraction_pattern_20,PLACEHOLDER,A3,constante (std=0) sur 4/7 symboles audites
volatility_contraction_pattern_200,PLACEHOLDER,A3,constante (std=0) sur 4/7 symboles audites
volatility_contraction_pattern_30,PLACEHOLDER,A3,constante (std=0) sur 4/7 symboles audites
volatility_contraction_pattern_50,PLACEHOLDER,A3,constante (std=0) sur 4/7 symboles audites
volatility_percentile_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volatility_ratio_1_200,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volatility_regime_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volatility_spike_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volatility_spike_10,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volatility_spike_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volatility_spike_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volatility_spike_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volatility_stop_distance_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volume_adjusted_volatility_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volume_confirmed_breakout_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volume_confirmed_trend_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volume_dry_up_1,PLACEHOLDER,A3,constante (std=0) sur 5/7 symboles audites
volume_percentile_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volume_regime_1,PLACEHOLDER,A3,constante (std=0) sur 5/7 symboles audites
volume_spike_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volume_spike_2,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volume_spike_3,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volume_spike_5,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
volume_zscore_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
wavelet_decomposition_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
wavelet_energy_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
wedge_falling_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
wedge_rising_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
zscore_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
zscore_price_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
zscore_return_1,PLACEHOLDER,A3,constante (std=0) sur 7/7 symboles audites
