symbol,event_id,asset,launch_ts,announcement_ts,announcement_body_present,body_trading_time_present,onboardDate_present,pending_trading_ts_present,trading_ts_present,first_orderbook_ts_present,first_trade_ts_present,first_mark_ts_present,first_index_ts_present,first_oi_ts_present,l2_t0_t6h_present,trades_t0_t6h_present,funding_present,spot_existed_before,other_venue_existed_before,actual_fee_present,capacity_present,coverage_score,coverage_score_after_free,coverage_score_after_free_and_key,bucket,bucket_after_free,missing_p0_fields,missing_p1_fields,backfill_source,action,vision_available,vision_missing,other_venue_first,launch_year
1000SATSUSDT,bd02f81f806b61964ad28fa1,1000SATS,2023-12-12T14:00:00+00:00,2023-12-12T08:15:45.949000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2023
1000RATSUSDT,8c5cf6e313e24b24e0ae548e,1000RATS,2023-12-15T14:00:00+00:00,2023-12-15T11:41:00.408000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2023
WIFUSDT,7f4b196e58663442894e9aef,WIF,2024-01-18T14:15:00+00:00,2024-01-18T07:25:15.644000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2024-01-11T12:34,2024
ONDOUSDT,7ae90f464d9d3ad74c14c360,ONDO,2024-01-20T13:00:00+00:00,2024-01-20T11:05:20.362000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2024-01-17T10:00,2024
ZETAUSDT,d588cda01954d01fe6318c95,ZETA,2024-02-02T08:30:00+00:00,2024-02-02T04:15:02.780000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,okx:listing@2024-01-30T09:54,2024
TONUSDT,3996d75d68d7fe9f1b79b94a,TON,2024-03-01T12:31:00+00:00,2024-03-01T05:05:04.921000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2022-12-21T04:24,2024
MYROUSDT,16d2301813546604bccc72c1,MYRO,2024-03-05T08:30:00+00:00,2024-03-05T05:35:23.762000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2024-01-18T10:00,2024
BOMEUSDT,f43f9a7538849c554a17a309,BOME,2024-03-16T12:30:00+00:00,2024-03-16T04:45:10.142000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2024-03-15T08:00,2024
MEWUSDT,37579a9fb49ede269bf8f628,MEW,2024-06-17T14:00:00+00:00,2024-06-17T12:00:01.864000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2024-04-18T03:31,2024
BRETTUSDT,4504cb146c6018bec3d3d9ec,BRETT,2024-08-20T10:35:00+00:00,2024-08-20T09:00:06.102000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2024-04-18T10:34,2024
NEIROETHUSDT,9101807195e525fff9bdf472,NEIROETH,2024-09-06T14:00:00+00:00,2024-09-06T13:00:15.089000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2024-08-15T10:00,2024
UXLINKUSDT,e0a50e3cea619eac2465defc,UXLINK,2024-09-15T15:00:00+00:00,2024-09-15T13:04:32.169000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2024-07-16T05:32,2024
1000CATUSDT,ad82dcce37e5348b048e282d,1000CAT,2024-10-21T12:30:00+00:00,2024-10-21T10:30:38.455000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2024-09-13T12:11,2024
GOATUSDT,700d4e731095fcaedaac26c5,GOAT,2024-10-24T13:30:00+00:00,2024-10-24T11:34:32.095000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2024-10-23T10:00,2024
MOODENGUSDT,c2b91bfbec0ed43aabcdb74f,MOODENG,2024-10-25T10:00:00+00:00,2024-10-25T08:00:31.189000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2024-10-01T08:32,2024
SAFEUSDT,a95a9d746860bc6de0bd1040,SAFE,2024-10-25T12:30:00+00:00,2024-10-25T10:30:00.674000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2024-04-23T06:00,2024
PONKEUSDT,2bf17446b8052a2980d08b2c,PONKE,2024-11-04T12:30:00+00:00,2024-11-04T10:30:23.083000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2024-05-10T10:00,2024
1000000MOGUSDT,125e6fdf0008d975a343c942,1000000MOG,2024-11-07T12:30:00+00:00,2024-11-07T10:28:53.236000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2024
SWELLUSDT,aab29a722c1f1f70858d4380,SWELL,2024-11-08T16:00:00+00:00,2024-11-08T14:03:02.460000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2024-11-07T11:30,2024
HIPPOUSDT,de0cd69adb47be97865353eb,HIPPO,2024-11-13T12:30:00+00:00,2024-11-13T10:30:00.839000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2024
DEGENUSDT,a145fa44534b876ab3762b4b,DEGEN,2024-11-15T11:30:00+00:00,2024-11-15T09:30:13.144000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2024-03-28T06:32,2024
BANUSDT,551e7c68db4a708957037745,BAN,2024-11-18T11:30:00+00:00,2024-11-18T09:30:12.272000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2024-11-18T09:07,2024
SLERFUSDT,e4c2c21b562ca8d7a3bc69f4,SLERF,2024-11-21T11:30:00+00:00,2024-11-21T09:30:02.071000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2024-03-18T13:00,2024
1000WHYUSDT,5b96299e3ac21d97d9913488,1000WHY,2024-11-25T11:31:00+00:00,2024-11-25T09:35:02.268000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,20,82,85,unusable,near_usable,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present;other_venue_existed_before,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,,2024
MORPHOUSDT,4d8c383224e3a76f6fc58997,MORPHO,2024-11-27T14:30:00+00:00,2024-11-27T12:31:41.624000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2024-11-22T09:07,2024
SPXUSDT,a7150d1cd6602cc674f27ab1,SPX,2024-12-10T12:45:00+00:00,2024-12-10T09:19:40.056000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2024-10-29T09:00,2024
MOCAUSDT,99b90c668ff8d07f9a62c71c,MOCA,2024-12-16T11:30:00+00:00,2024-12-16T09:19:43.453000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2024-07-12T10:52,2024
KMNOUSDT,ada0dad89ba8db72db34e5e1,KMNO,2024-12-20T19:00:00+00:00,2024-12-20T16:04:10.493000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2024-04-23T10:00,2024
AI16ZUSDT,bf08b1b7b1db53a4adabf00b,AI16Z,2025-01-02T13:45:00+00:00,2025-01-02T10:50:37.626000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2024-12-30T08:28,2025
SWARMSUSDT,f736f1ca447ec854a82c39e1,SWARMS,2025-01-07T12:15:00+00:00,2025-01-07T08:58:00.965000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2025-01-06T09:00,2025
SONICUSDT,98bb20f584caad1487773629,SONIC,2025-01-08T07:01:00+00:00,2025-01-08T04:54:28.898000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:listing@2024-12-31T13:02,2025
ARCUSDT,e392222f24c675106459b5d8,ARC,2025-01-17T13:00:00+00:00,2025-01-17T10:07:03.396000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2025-01-03T09:05,2025
TRUMPUSDT,3fb6ffd8390e7119ddfa4168,TRUMP,2025-01-18T13:00:00+00:00,2025-01-18T10:43:11.591000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2025-01-18T06:49,2025
MELANIAUSDT,0e44ae278bb97bca471915f5,MELANIA,2025-01-20T09:30:00+00:00,2025-01-20T06:55:13.731000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2025-01-20T05:30,2025
VINEUSDT,86c2b231d2e88deccfa3bbeb,VINE,2025-01-24T10:00:00+00:00,2025-01-24T07:10:06.449000+00:00,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,30,92,95,unusable,clean,first_trade_ts_present;first_mark_ts_present;first_index_ts_present;trades_t0_t6h_present;body_trading_time_present,first_orderbook_ts_present;first_oi_ts_present;funding_present;l2_t0_t6h_present;actual_fee_present;capacity_present,free,collect,aggTrades;bookDepth;markPriceKlines;indexPriceKlines;premiumIndexKlines;metrics;fundingRate,,bybit:futures_listing@2025-01-23T12:02,2025
